,State/UT,District,Households,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise
574,Karnataka,Dakshina Kannada,4228796852.64,1725349115.8771198,1112173572.2443202,156465483.54768,67660749.64224,3725570027.17584,4127305728.1766396
575,Karnataka,Kodagu,453579246.76,181431698.70400003,151495468.41783997,20864645.350959998,14514535.89632,357420446.44688,439971869.3572
576,Karnataka,Mysore,8482078443.24,4071397652.7552004,2417392356.3234,449550157.49171996,186605725.75128,2290161179.6748,7990117893.53208
577,Karnataka,Chamarajanagar,1023232144.0,486035268.4,382688821.856,71626250.08,46045446.48,157577750.176,657938268.592
578,Karnataka,Gulbarga,3600084000.49,1562436456.2126598,1036824192.14112,133203108.01813,54001260.00735,162003780.02205,2455257288.33418
579,Karnataka,Yadgir,691663700.25,354131814.52800006,237932312.88599998,38041503.51375,20058247.30725,29741539.110749997,278048807.5005
580,Karnataka,Kolar,2281103568.81,932971359.6432899,720828727.7439599,116336282.00930999,36497657.10096,581681410.04655,1829445062.18562
581,Karnataka,Chikkaballapura,1678557288.04,642887441.31932,468317483.36315995,82249307.11396001,26856916.608640004,386068176.2492,1415023793.81772
582,Karnataka,Bangalore Rural,1065774374.44,389007646.67060006,310140342.96204,39433651.85428,18118164.365480002,804659652.7022,973052003.86372
583,Karnataka,Ramanagara,1237519826.56,538321124.5536,423231780.6835201,84151348.20608,39600634.44992,346505551.4368,1095205046.5056
584,Goa,North Goa,1056828579.21,243070573.2183,207138401.52516,19022914.425780002,11625114.371310001,726041233.9172701,901474778.06613
585,Goa,South Goa,632487290.49,148002025.97466,154326898.87956,12649745.8098,9487309.35735,466775620.38162005,538879171.49748
586,Lakshadweep,Lakshadweep,4512225.64,1843695.3965039998,646150.7116479999,78512.726136,21658.683071999996,4424688.462584,4408895.672843999
587,Kerala,Kasaragod,1745610180.25,556849647.49975,322937883.34625,132666373.699,47131474.86675,1550101840.0619998,1686259434.1215
588,Kerala,Kannur,7612196054.41,2367392972.92151,1476766034.5555398,471956155.37342,159856117.14260998,7330544800.39683,7498013113.59385
589,Kerala,Wayanad,772773281.44,273561741.62976,309109312.57600003,69549595.3296,42502530.4792,708633099.0804801,736452937.2123201
590,Kerala,Kozhikode,9807653928.96,2657874214.74816,1892877208.2892797,647305159.3113599,353075541.44255996,9513424311.091198,9631116158.23872
591,Kerala,Malappuram,13389475226.41,3695495162.48916,2851958223.2253304,562357959.50922,334736880.66025,12920843593.48565,13188633098.01385
592,Kerala,Palakkad,7998458242.81,2831454217.95474,2247566766.2296104,431916745.11174005,263949122.01273,7054640170.158421,7590536872.426691
593,Kerala,Thrissur,11064241856.89,3894613133.6252804,3153308929.2136497,564276334.7013899,453633916.1324899,10721250359.32641,10876149745.322868
594,Kerala,Ernakulam,13798989454.81,4084500878.6237597,3077174648.42263,689949472.7405,427768673.09911,13371220781.710892,13564406634.07823
595,Kerala,Idukki,1701009794.89,750145319.5464901,399737301.79915,141183812.97587,23814137.12846,1508795688.06743,1689102726.32577
596,Kerala,Kottayam,4599023419.21,1609658196.7235,1218741206.09065,211555077.28365996,119574608.89946002,4415062482.441601,4516240997.66422
597,Kerala,Alappuzha,5235043432.96,1565277986.45504,1397756596.6003199,403098344.33792,340277823.1424,4758654480.56064,4957586131.01312
598,Kerala,Pathanamthitta,2235776656.0,675204550.112,529879067.47199994,109553056.14400001,62601746.36799999,2094922726.6720002,2146345589.76
599,Kerala,Kollam,8558655169.0,2559037895.5309997,2088311861.2359998,641899137.675,470726034.295,7959549307.17,8250543582.916001
600,Kerala,Thiruvananthapuram,13668345596.89,4674574194.13638,3540101509.59451,1394171250.8827798,833769081.4102899,12561209603.541908,13162616809.805069
601,Tamil Nadu,Thiruvallur,12531302414.89,4060141982.42436,2268165737.09509,413532979.69136995,125313024.14889999,3546358583.41387,11127796544.42232
602,Tamil Nadu,Chennai,17269245156.25,,3004848657.1875,,155423206.40625,,16509398369.375
603,Tamil Nadu,Kancheepuram,14725919580.16,4668116506.91072,2591761846.10816,338696150.34367996,117807356.64128,4314694436.98688,12605387160.616959
604,Tamil Nadu,Vellore,13002840900.0,3614789770.2,2730596589.0,299065340.7,195042613.5,2496545452.8,9258022720.8
605,Tamil Nadu,Tiruvannamalai,5043314865.69,1462561311.0500998,943099879.8840299,115996241.91086999,65563093.25397,630414358.21125,3283197977.5641894
606,Tamil Nadu,Viluppuram,9356963745.96,3368506948.5455995,2226957371.53848,187139274.91919997,140354456.1894,1235119214.4667199,6138168217.349758
607,Tamil Nadu,Salem,13697238039.04,4410510648.570881,3342126081.5257597,315036474.89792,178064094.50752002,1999796753.69984,7519783683.4329605
608,Tamil Nadu,Namakkal,3937361702.56,1000089872.4502399,956778893.7220801,70872510.64608,47248340.430719994,1228456851.19872,2149799489.59776
609,Tamil Nadu,Erode,7118026918.56,2035755698.7081602,1694090406.6172802,142360538.3712,78298296.10416001,2398775071.5547204,4541301174.04128
610,Tamil Nadu,The Nilgiris,697514510.25,241340020.54650003,253895281.73099998,14647804.71525,13252775.69475,295048637.83575,410836046.53725
611,Tamil Nadu,Dindigul,5091421857.64,1603797885.1566,1318678261.12876,91645593.43752001,71279906.00696,962278731.0939599,2922476146.2853603
612,Tamil Nadu,Karur,1329776449.21,385635170.2709,267285066.29121003,29255081.88262,11967988.042890001,305848583.3183,892279997.41991
613,Tamil Nadu,Tiruchirappalli,7668977785.29,2285355380.01642,1641161246.05206,184055466.84695998,92027733.42347999,1840554668.4696,5690381516.685181
614,Tamil Nadu,Perambalur,355669424.64,107412166.24128,60108132.76415999,7824727.342080001,3201024.82176,55484430.24384,196329522.40128
615,Tamil Nadu,Ariyalur,646567927.29,245049244.44290996,179099315.85933,21983309.527859997,12931358.545799999,91812645.67518,331689346.69977
616,Tamil Nadu,Cuddalore,5748808876.81,2236286653.07909,1517685543.47784,137971413.04343998,86232133.15215,1144012966.48519,3943682889.49166
617,Tamil Nadu,Nagapattinam,2680547076.0,1198204542.9720001,830969593.56,85777506.43200001,64333129.82399999,836330687.712,1868341311.9720001
618,Tamil Nadu,Thiruvarur,1666100960.41,746413230.26368,464842167.95439005,68310139.37681,28323716.32697,524821802.52915,1212921499.1784801
619,Tamil Nadu,Thanjavur,5675693703.84,2446223986.35504,1628924093.00208,255406216.67279997,113513874.0768,1634599786.7059202,4245418890.47232
620,Tamil Nadu,Pudukkottai,2539565314.81,1003128299.34995,637430894.01731,106661743.22202,40633045.03696,449503060.7213699,1759918763.1633298
621,Tamil Nadu,Sivaganga,2046811418.89,648839219.78813,450298512.15580004,61404342.566700004,28655359.864460003,489187929.11471003,1606746963.8286502
622,Tamil Nadu,Madurai,10209910144.81,3277381156.48401,1766314455.0521302,214408113.04101,81679281.15847999,2113451399.9756699,8658003802.79888
623,Tamil Nadu,Theni,1686112481.29,593511593.41408,504147631.90571,35408362.107090004,21919462.25677,418155895.35991997,876778490.2708
624,Tamil Nadu,Virudhunagar,5398193561.76,1457512261.6752002,1041851357.41968,91769290.54992001,48583742.05584001,788136260.01696,2531752780.4654403
625,Tamil Nadu,Ramanathapuram,1740883831.21,598864037.93624,436961841.63371,52226514.9363,27854141.299360003,391698862.02225,1229063984.83426
626,Tamil Nadu,Thoothukkudi,4054365541.21,1358212456.30535,940612805.56072,81087310.8242,52706752.03573,1143331082.6212199,2963741210.62451
627,Tamil Nadu,Tirunelveli,11335158208.89,3434552937.29367,2845124710.43139,181362531.34223998,124686740.29779,3763272525.35148,7129814513.391809
628,Tamil Nadu,Kanniyakumari,3576530376.81,1273244814.14436,1180255024.3473,96566320.17387001,107295911.30430001,2972096743.1291094,3161652853.1000404
629,Tamil Nadu,Dharmapuri,2380717814.76,788017596.6855601,547565097.3948001,59517945.369,38091485.03616001,254736806.17931998,1404623510.7084002
630,Tamil Nadu,Krishnagiri,3370266916.0,1102077281.532,616758845.628,74145872.15200001,20221601.496,647091247.872,2638918995.2279997
631,Tamil Nadu,Coimbatore,13683197415.04,3749196091.72096,3297650577.0246406,218931158.64064002,109465579.32032001,4556504739.20832,10659210786.31616
632,Tamil Nadu,Tiruppur,8008603284.64,2210374506.5606403,1890030375.1750402,136146255.83888,56060222.99248,2474658414.95376,6006452463.48
633,Puducherry,Yanam,2408393.61,,370892.61594,,16858.755269999998,,1972474.36659
634,Puducherry,Puducherry,847025353.69,270201087.82711005,160934817.2011,22022659.195940003,10164304.24428,303235076.62102,698795916.79425
635,Puducherry,Mahe,1466521.0,,231710.318,,16131.731000000002,,1434257.5379999997
636,Puducherry,Karaikal,48070648.89,17689998.79152,10094836.266900001,1009483.62669,576847.78668,22881628.87164,35764562.774160005
637,Andaman and Nicobar Islands,Nicobars,2546577.64,606085.47832,,30558.93168,,2060181.3107600003,
638,Andaman and Nicobar Islands,North  and Middle Andaman,16148342.25,7153715.616749999,9026923.31775,436005.24075000006,1065790.5884999998,7751204.28,9059220.00225
639,Andaman and Nicobar Islands,South Andaman,73157230.24,24507672.1304,15655647.271359997,2560503.0583999995,877886.7628799998,47332727.96528,64232048.15071999
